ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
ASSERT: 14.08.2019 01:09:24 REASON: (0), File: int_drawing_view.cpp, Line: 148
